Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-09-09,272.4360046386719,277.1736856148688,270.07712696126345,274.47637611822677,22918800
2020-09-10,266.8324279785156,277.8505076249428,265.7774027031436,274.21763528054476,24814700
2020-09-11,265.3593444824219,270.1169511382751,261.40799651619125,268.79317302604136,18913900
2020-09-14,264.9015197753906,275.34233323920216,264.4536488900222,269.6790218402906,24093800
2020-09-15,271.1421203613281,273.2322451870108,268.0367304321977,269.4003294236436,18478500
2020-09-16,262.2838134765625,271.1619830106654,260.56194836764973,266.0361477994289,29183400
2020-09-17,253.62466430664062,260.2733215991201,249.0163784562783,257.0684251812783,31281400
2020-09-18,251.3454132080078,257.984138465208,248.87705081975477,257.18787293711085,28130800
2020-09-21,246.9859619140625,248.77752143903314,242.98483002670937,246.37882271913392,24709400
2020-09-22,253.55499267578125,254.12232615141394,247.0556254818363,252.12174514493194,30293100
2020-09-23,247.8518829345703,256.77979182708066,246.9859536672072,254.0626021641427,19641300
2020-09-24,248.35948181152344,251.056776190774,244.46781953382853,245.34369641338654,20006800
2020-09-25,253.62466430664062,254.5502944511471,245.4531701660315,248.230075786762,18351300
2020-09-28,255.6152801513672,258.38223812397297,253.6246620308041,258.1831641621479,18826300
2020-09-29,260.56195068359375,262.0947046685332,255.69487511126692,256.60060994296026,20200200
2020-09-30,260.67144775390625,264.8318325106439,258.8799035199725,260.75108949174785,20142500
2020-10-01,265.3792724609375,267.0712797207441,263.55783978269386,264.1052780170264,20009800
2020-10-02,258.72064208984375,263.9061938397875,257.96419747681665,259.9846736739717,16367600
2020-10-05,263.4085388183594,263.6275080283354,259.6164136985559,260.97004982597724,12822300
2020-10-06,257.4466552734375,264.4436770266366,257.0286120869795,260.55201480338883,18696900
2020-10-07,256.9091796875,258.959514000796,253.62467181167477,257.99406296011404,23133400
2020-10-08,262.5227355957031,263.3786868343501,257.93434489090373,258.53153642046505,16312800
2020-10-09,263.2095031738281,263.5080837535246,260.94019964486534,263.2791517261419,14107800
2020-10-12,274.45648193359375,278.86569391831364,266.61344143402437,268.9325286264946,31019300
2020-10-13,274.84466552734375,277.7907719164177,272.10756554144547,276.2778826663997,18063300
2020-10-14,270.544921875,277.44240652125444,270.22641567899757,276.3177023990364,15577800
2020-10-15,265.4688415527344,267.77796593011686,262.433160979685,266.3447184113569,15416100
2020-10-16,264.6825256347656,270.0970092406302,264.0554760798538,266.1257358920839,16622700
2020-10-19,260.1737976074219,267.29025173272265,258.6609386814757,264.28442912841587,13587000
2020-10-20,266.304931640625,268.4349079444904,261.64689179545115,261.8260401646286,18763200
2020-10-21,277.4225158691406,281.7222280886955,275.07357060274734,278.2486090558798,28998600
2020-10-22,276.81536865234375,281.1250741680907,273.74982991577525,278.557159619,16720000
2020-10-23,283.4541015625,283.90197245570727,275.52148641560984,277.4921790945712,17535200
2020-10-26,275.8100891113281,283.8920244882496,272.97348248625366,281.8317273689323,21322900
2020-10-27,281.9611511230469,283.17542955922556,275.01388198826373,277.45240167241457,16287200
2020-10-28,266.41436767578125,277.4821986582873,266.00628734961083,277.4821986582873,23121800
2020-10-29,279.5126037597656,282.2696290372135,272.4956876941439,275.2526825971727,32368100
2020-10-30,261.875732421875,275.4020082553577,257.8845640472668,273.212316338939,47247800
2020-11-02,260.13397216796875,269.2012538766246,256.1328405150441,263.3587943111843,27165700
2020-11-03,264.05548095703125,268.7831989828786,259.6562319300243,261.9255353674542,17961900
2020-11-04,286.0319519042969,287.5846317674365,277.31303392326276,279.68187458930083,35364400
2020-11-05,293.29766845703125,295.98501508663117,287.59456694502006,290.5307104668488,23823600
2020-11-06,292.0336608886719,293.2180812052693,286.70875086963366,292.57113633366833,13891000
2020-11-09,277.4622497558594,291.20746316741645,277.22338534084565,288.510184566497,25117700
2020-11-10,271.15203857421875,272.7146810804901,262.76159053010724,271.81890900584,29067700
2020-11-11,275.18310546875,277.09408217111223,271.2018685686638,272.18721498161847,14957000
2020-11-12,273.7895812988281,278.4376876077304,273.14263653566013,275.87973623511056,12899500
2020-11-13,275.6508483886719,276.4570462741308,271.8189025429995,276.4172254080379,10391200
2020-11-16,277.65142822265625,278.09932948386626,273.34175302621117,273.7597658538778,12970400
2020-11-17,273.7099914550781,276.37741244557907,272.0080214675956,276.37741244557907,15040300
